date,open,high,low,close,daily_trading_volume,RSI_14,BollW,precent_B,BIAS,ROC_1,golden_cross,death_cross,sixth_day_return
2017-11-28,21.0907,21.3333,20.928,21.17,74242368,49.2338,206.9751,0.3552,-27.5159,8.6393,0.0,0.0,-0.03051618463895804
2017-11-29,21.1533,21.2,20.082,20.5027,131510968,54.1454,202.7145,0.6055,25.2592,77.1374,0.0,0.0,0.006491785265045023
2017-11-30,20.5707,20.7133,20.3027,20.59,65273804,48.3222,210.9205,0.3199,-36.2844,-50.3663,0.0,0.0,-0.0123472656566089
2017-12-01,20.3627,20.688,20.3367,20.4353,64393020,48.2478,147.5914,0.2884,-36.8741,-1.3494,0.0,0.0,-0.04189298272017065
2017-12-04,20.4333,20.551,20.0407,20.3467,87527104,50.4051,145.9791,0.4713,-13.6136,35.9264,0.0,0.0,-0.035539447467154595
2017-12-05,20.1333,20.5333,20.0667,20.2467,69697800,48.7195,149.53,0.3493,-31.3699,-20.37,0.0,0.0,0.005897708167418743
2017-12-06,20.0067,20.8927,20.0,20.884,107930112,52.3956,147.7511,0.6225,5.3289,54.8544,0.0,0.0,0.0033738790730711405
2017-12-07,20.8,21.2423,20.7367,20.7493,71708952,48.8246,147.5758,0.3538,-28.4795,-33.5598,0.0,0.0,-0.016190105997807517
2017-12-08,20.9733,21.132,20.7507,21.0087,52026872,46.952,154.6013,0.2273,-42.4925,-27.4472,0.0,0.0,0.013518478352286003
2017-12-11,20.9753,21.934,20.9167,21.9273,119069712,53.495,151.3805,0.6903,32.4525,128.8619,0.0,0.0,0.023467265882310333
2017-12-12,22.03,22.7627,22.002,22.7353,130997984,54.5686,153.067,0.764,43.5681,10.0179,0.0,0.0,0.00644264089002376
2017-12-13,22.7287,22.948,22.4333,22.602,93321912,50.5953,152.1899,0.4973,1.657,-28.7608,0.0,0.0,-0.008082059817192705
2017-12-14,22.734,23.1627,22.46,22.526,86998736,49.9381,152.4931,0.4539,-5.8919,-6.7757,0.0,0.0,0.0198662361623617
2017-12-15,22.8027,22.9267,22.384,22.8967,103997984,51.7525,151.3127,0.5671,11.4218,19.5396,0.0,0.0,0.024928259749346437
2017-12-18,22.9933,23.1153,22.5053,22.5913,82142488,49.2796,113.0495,0.4391,-12.4725,-21.0153,0.0,0.0,0.018131497882171718
2017-12-19,22.684,22.7662,22.02,22.0733,102374568,51.5859,109.337,0.6598,9.6185,24.6305,0.0,0.0,-0.011796042617960478
2017-12-20,22.1793,22.2067,21.6693,21.932,89307000,50.0044,108.1743,0.5337,-4.544,-12.7645,0.0,0.0,0.01287776958765133
2017-12-21,21.9727,22.2493,21.814,22.1107,65778328,47.1985,109.9645,0.2881,-28.9668,-26.3458,0.0,0.0,-0.028640020216484947
2017-12-22,21.9673,22.0614,21.6547,21.68,63237104,46.8924,104.6347,0.243,-30.9928,-3.8633,0.0,0.0,0.010340425531914985
2017-12-26,21.5887,21.596,21.1053,21.1527,65676196,47.246,105.3239,0.2726,-23.654,3.8571,0.0,0.0,0.008357688071819861
2017-12-27,21.0667,21.1787,20.7167,20.776,70681664,48.011,106.0421,0.3304,-15.758,7.6214,0.0,0.0,-0.006188019123158693
2017-12-28,20.7833,21.0547,20.636,21.024,64745204,47.138,100.2513,0.2821,-21.1733,-8.3989,0.0,0.0,-0.05894601668502224
2017-12-29,21.0787,21.094,20.6667,20.7567,56657324,45.913,102.9339,0.1964,-30.4407,-12.4919,0.0,0.0,0.00814977973568283
2018-01-02,20.8,21.474,20.7333,21.3687,65283616,47.4806,102.6989,0.2972,-20.499,15.2254,0.0,0.0,-0.003315412186380001
2018-01-03,21.4,21.6833,21.0367,21.15,67822904,47.9588,104.9165,0.3403,-17.386,3.8896,0.0,0.0,-0.00932090545938752
2018-01-04,20.858,21.2367,20.3787,20.9747,149194560,60.4005,120.5578,1.1188,75.3286,119.9767,0.0,0.0,0.005143945714196544
2018-01-05,21.108,21.1493,20.8,21.1053,68867696,48.1602,121.9424,0.3563,-16.6135,-53.8403,0.0,0.0,-0.011292108316020247
2018-01-08,21.0667,22.468,21.0333,22.4273,147891520,57.323,132.2989,1.0246,72.1807,114.7473,0.0,0.0,-0.02045022468026263
2018-01-09,22.344,22.5867,21.827,22.246,107199464,52.2059,124.3386,0.653,22.3662,-27.5148,1.0,0.0,0.007518076904659247
2018-01-10,22.1467,22.4667,22.0,22.32,64648888,47.4373,126.7989,0.2951,-25.4255,-39.6929,0.0,0.0,-0.015573373559548747
2018-01-11,22.3493,22.9873,22.2173,22.53,99682256,51.3754,121.2858,0.6337,13.4174,54.1902,0.0,0.0,-0.004377637355838723
2018-01-12,22.5753,22.694,22.2447,22.4147,72375888,48.3356,123.2409,0.3817,-16.2971,-27.3934,0.0,0.0,-0.0034864983226541918
2018-01-16,22.5027,23.0,22.32,22.6707,97113768,51.1552,123.1512,0.6132,11.0078,34.1797,0.0,0.0,0.019948567389296328
2018-01-17,22.698,23.2667,22.65,23.144,106552576,52.2266,123.4218,0.7011,18.8344,9.7193,0.0,0.0,0.024434344915212854
2018-01-18,23.0447,23.4867,22.916,22.9713,85287672,49.5877,123.1466,0.4978,-3.4262,-19.9572,0.0,0.0,-0.015199044481486845
2018-01-19,23.0,23.3727,22.84,23.3347,73324544,48.1149,124.4694,0.3973,-14.7454,-14.0268,0.0,0.0,-0.01910994764397904
2018-01-22,23.2933,23.8553,23.28,23.4373,93155400,50.7275,124.4317,0.5849,8.3204,27.0453,0.0,0.0,0.010726663109908139
2018-01-23,24.0,24.0333,23.4,23.5193,81981208,49.2234,121.6693,0.4702,-4.4499,-11.9952,0.0,0.0,-0.02396203330129924
2018-01-24,23.6387,23.65,22.9013,23.0593,79312168,48.8508,118.4586,0.4355,-6.4845,-3.2557,0.0,0.0,0.01449107300082028
2018-01-25,23.218,23.28,22.4267,22.5093,101104544,52.0427,114.9887,0.6336,18.1539,27.4767,0.0,0.0,0.015997067640628967
2018-01-26,22.7667,22.9333,22.3807,22.8567,68090336,47.2339,115.5858,0.308,-19.1315,-32.6535,0.0,0.0,0.03187939861405658
2018-01-29,22.6567,23.39,22.552,23.302,71207232,47.725,114.0087,0.3339,-14.6962,4.5776,0.0,0.0,-0.002515192210090454
2018-01-30,23.0093,23.218,22.8113,23.0547,70765504,47.6573,109.9404,0.3174,-15.4275,-0.6203,0.0,0.0,-0.03196956521739125
2018-01-31,23.1673,23.746,23.0127,23.6207,93211032,51.4275,105.6524,0.5344,9.8237,31.7182,0.0,0.0,0.09444071700142279
2018-02-01,23.4,23.9773,23.242,23.2833,62965304,46.5607,107.0462,0.2216,-25.7177,-32.4487,0.0,0.0,0.015491889227676596
2018-02-02,23.2293,23.4633,22.7007,22.9167,55572540,45.429,98.1887,0.1473,-33.9684,-11.741,0.0,0.0,-0.016818140787792084
2018-02-05,22.5313,22.9647,22.2,22.2087,66962204,47.5443,98.6649,0.2857,-20.5189,20.4951,0.0,0.0,-0.024497967771686023
2018-02-06,21.6807,22.4147,21.5667,22.2647,76326568,49.285,74.8011,0.4176,-10.242,13.9846,0.0,0.0,0.004188520661041631
2018-02-07,22.5993,23.0667,22.3773,23.0,104538584,54.2142,73.8565,0.889,20.7057,36.9622,0.0,0.0,-0.03518925957523235
2018-02-08,22.8873,23.2413,20.9733,21.0153,154718592,61.4006,100.2027,1.3035,71.7531,48.0014,0.0,1.0,-0.004247518554949426
2018-02-09,21.3287,21.399,19.6507,20.6947,194005808,65.9118,140.9525,1.3126,111.164,25.3927,0.0,0.0,0.0021507303521820175
2018-02-12,21.0753,21.2053,20.4167,21.0487,93417328,49.8483,138.1633,0.5153,0.604,-51.8482,0.0,0.0,0.004410441044104525
2018-02-13,21.0013,21.6127,20.834,21.5773,68403464,46.7942,141.9721,0.3307,-23.7223,-26.7765,0.0,0.0,-0.037178265014299355
2018-02-14,21.3893,21.7447,21.2347,21.4873,59261144,45.6923,147.7974,0.2807,-32.4732,-13.3653,0.0,0.0,-0.016702172986791625
2018-02-15,21.6333,22.2747,21.4933,22.271,88693752,49.7913,147.4923,0.5065,-0.0309,49.6659,0.0,0.0,-0.015024341111297657
2018-02-16,22.1667,22.8747,22.1093,22.366,84639552,49.24,145.8237,0.4707,-3.9491,-4.571,0.0,0.0,0.01832106088643674
2018-02-20,22.298,22.7227,22.1,22.318,60141524,45.9305,151.1593,0.297,-31.3689,-28.9439,0.0,0.0,0.023112541373897646
2018-02-21,22.402,22.6462,22.2113,22.22,48294736,44.3772,159.0925,0.2282,-43.6318,-19.6982,0.0,0.0,0.036655788233161006
2018-02-22,22.3687,23.1627,22.3167,23.078,104547120,52.5781,157.8379,0.6336,22.1386,116.4773,0.0,0.0,-0.01250151065515432
2018-02-23,23.1887,23.666,23.14,23.47,87260808,50.132,158.3349,0.5119,1.8497,-16.5345,1.0,0.0,0.005309742477489937
2018-02-26,23.5667,23.9333,23.4903,23.828,65099776,47.1064,159.003,0.3499,-23.7235,-25.3963,0.0,0.0,0.01569012797074951
2018-02-27,23.75,23.9993,23.334,23.3993,71961288,48.1498,158.8606,0.4001,-14.838,10.54,0.0,0.0,-0.012336762468797087
2018-02-28,23.5047,23.6827,22.8147,22.8707,91044872,51.0425,156.2888,0.5332,7.286,26.5192,0.0,0.0,0.00972196900638105
2018-03-01,23.0007,23.2447,22.0047,22.062,103284016,52.859,156.1656,0.6194,20.3486,13.443,0.0,0.0,0.00590061115110067
2018-03-02,21.7987,22.348,21.5313,22.3413,76392432,48.5929,153.3669,0.4157,-9.9488,-26.0365,0.0,0.0,-0.053082399930537455
2018-03-05,22.1593,22.5167,21.9529,22.2233,57356536,45.7765,152.8325,0.273,-32.0443,-24.9186,0.0,0.0,0.010737495228023596
2018-03-06,22.25,22.4247,21.802,21.88,64286160,46.9812,153.4677,0.3261,-23.5835,12.0817,0.0,1.0,0.04656652261966537
2018-03-07,21.696,22.1667,21.4493,22.1533,75109456,48.8911,153.6728,0.4071,-10.902,16.8361,0.0,0.0,0.003160314557256515
2018-03-08,22.1907,22.22,21.7516,21.94,53493660,45.3754,160.8753,0.2693,-35.3247,-28.7791,0.0,0.0,0.013228587565874552
2018-03-09,21.6067,21.8993,21.4913,21.8113,82601456,50.5338,148.5567,0.5094,-1.072,54.4135,0.0,0.0,0.024842135476463894
2018-03-12,21.9073,23.1473,21.7667,23.034,123960528,56.7791,97.3665,1.106,43.7523,50.0706,0.0,0.0,0.009694106736607267
2018-03-13,22.9947,23.008,22.4176,22.7893,89487072,50.9993,96.8861,0.6556,2.7016,-27.81,1.0,0.0,-0.018893943702018842
2018-03-14,22.4507,22.654,21.5953,21.7753,119510552,55.2699,103.3894,0.9719,34.4925,33.5506,0.0,0.0,0.02403587182809476
2018-03-15,21.9587,22.19,21.4067,21.7067,98472016,51.8592,99.8018,0.6972,11.12,-17.6039,0.0,0.0,0.025071259084600644
2018-03-16,21.7307,21.8267,21.2713,21.4233,91759184,50.7823,99.9009,0.6132,6.5736,-6.817,0.0,1.0,-0.008679057336022622
2018-03-19,21.1,21.3833,20.6447,20.904,112264408,53.9293,103.0448,0.8294,35.5364,22.3468,0.0,0.0,0.08954975284762531
2018-03-20,20.9913,21.0833,20.584,20.7033,71464392,47.4308,100.0535,0.347,-12.7968,-36.3428,0.0,0.0,0.08301862638417698
2018-03-21,20.6833,21.496,20.6793,21.102,89376168,50.2643,89.9023,0.5378,7.9546,25.0639,0.0,0.0,-0.03137752226355536
2018-03-22,20.926,21.2547,20.5453,20.6067,74096568,47.8928,90.158,0.3587,-11.1381,-17.0958,0.0,0.0,0.054063688212927764
2018-03-23,20.75,20.774,20.03,20.1027,99823488,51.9993,90.7629,0.6839,19.0797,34.7208,0.0,0.0,-0.05625360941503644
2018-03-26,20.4893,20.506,19.424,20.2787,125627624,55.7647,93.3288,0.9483,46.9868,25.8498,0.0,0.0,-0.0676449216646715
2018-03-27,20.2667,20.2847,18.4787,18.612,208080432,65.1675,137.8978,1.357,127.6935,65.6327,0.0,0.0,-0.0614288588068474
2018-03-28,17.6387,17.912,16.8067,17.1853,315021568,73.1418,217.7866,1.3981,208.6774,51.3941,0.0,0.0,0.021450085950694916
2018-03-29,17.0993,18.064,16.5473,17.742,227561232,60.8688,225.9687,0.9503,112.7221,-27.7633,0.0,0.0,0.0332768879429538
2018-04-02,17.084,17.3555,16.306,16.832,241709520,61.9802,227.8846,0.9374,113.6115,6.2174,0.0,0.0,-0.049356825331187
2018-04-03,17.988,18.2233,16.966,17.8353,282665760,65.0727,228.8793,0.9964,131.9662,16.9444,0.0,0.0,0.012526168876482929
2018-04-04,16.852,19.2247,16.8,19.1293,298451200,66.2134,228.0717,0.9701,127.9715,5.5845,0.0,0.0,0.023294721325355972
2018-04-05,19.2893,20.4173,19.2133,20.3813,286816512,64.5403,222.7596,0.8839,106.7193,-3.8984,0.0,0.0,-0.02084633940477561
2018-04-06,20.0667,20.6187,19.7,19.9533,202804288,53.9413,205.9363,0.622,42.0918,-29.2913,0.0,0.0,0.031353662305552636
2018-04-09,20.0247,20.6333,19.2807,19.3107,153747072,48.8921,196.7543,0.4635,5.4348,-24.1894,0.0,0.0,0.012237151512307545
2018-04-10,19.9313,20.4733,19.5787,20.3133,165363888,50.0836,192.9871,0.4928,10.1382,7.5558,0.0,0.0,-0.019297734280323265
2018-04-11,20.0494,20.5987,19.9773,20.062,112244176,44.9258,189.4275,0.323,-26.1845,-32.1229,0.0,0.0,-0.022424057624729397
2018-04-12,20.1547,20.2633,19.5787,19.6053,114131536,45.1419,190.1434,0.3301,-25.706,1.6815,0.0,0.0,0.0339030352519212
2018-04-13,20.24,20.2633,19.732,20.0227,109908344,44.7189,188.4061,0.3141,-29.4908,-3.7003,0.0,0.0,0.024243964152810996
2018-04-16,19.9333,19.9773,19.2673,19.414,95077320,43.1885,187.8482,0.2666,-39.1999,-13.494,0.0,0.0,-0.00031750567541396005
2018-04-17,19.258,19.478,18.834,19.1793,105000344,44.5557,188.9052,0.2996,-32.5271,10.4368,0.0,0.0,0.009864958023160722
2018-04-18,19.4053,20.016,19.2107,19.5567,98365504,43.7968,184.0284,0.2705,-36.9346,-6.3189,0.0,0.0,-0.01677700714585952
2018-04-19,19.4053,20.0673,19.2367,20.0053,91358984,42.9645,183.6836,0.2475,-41.0007,-7.1229,0.0,0.0,-0.0292272379495027
2018-04-20,19.678,19.9987,19.3167,19.3493,84418920,42.1108,181.7126,0.2215,-45.284,-7.5965,0.0,0.0,0.0005971429008896487
2018-04-23,19.4193,19.4413,18.822,18.8913,73400672,40.7273,186.4547,0.1958,-52.1979,-13.0519,0.0,0.0,-0.020075319959789464
2018-04-24,19.0,19.1393,18.564,18.8973,85279616,42.9052,192.5065,0.2449,-44.0686,16.1837,0.0,0.0,-0.00408433656925676
2018-04-25,18.9,19.0107,18.4833,18.7127,60203608,39.5976,208.0886,0.2001,-60.3979,-29.4045,0.0,0.0,0.05871340958588424
2018-04-26,18.5833,19.0527,18.4333,19.032,65340196,40.6076,210.4571,0.2351,-56.7455,8.532,0.0,0.0,-0.03278078139345105
2018-04-27,19.0247,19.6313,18.922,19.605,65469392,40.6345,221.8154,0.2606,-56.5608,0.1977,0.0,0.0,-0.02867023042205224
2018-04-30,19.574,19.9153,19.5,19.5933,63422580,40.323,230.7192,0.2769,-57.5083,-3.1264,0.0,0.0,0.002652585774391117
2018-05-01,19.5673,20.0547,19.548,19.9947,69384048,41.7241,226.0596,0.3134,-52.8029,9.3996,1.0,0.0,-0.015906768931450425
2018-05-02,19.9047,20.4567,19.8523,20.0767,134555552,54.3439,194.3438,0.6046,-6.6028,93.9287,0.0,0.0,0.005999596748415264
2018-05-03,18.586,19.2027,18.3487,18.9633,260281952,68.5108,181.7531,1.2459,83.4541,93.4383,0.0,0.0,0.013153502369125289
2018-05-04,18.8667,19.7907,18.6347,19.606,128540312,50.743,171.5423,0.6188,-6.7992,-50.615,0.0,0.0,0.031133282300780288
2018-05-07,19.8333,20.3973,19.678,20.1847,130173360,50.9129,169.933,0.637,-2.4599,1.2705,0.0,0.0,0.027415770666075544
2018-05-08,20.053,20.5167,19.9333,20.1313,88950000,46.5472,168.2725,0.4251,-29.2405,-31.668,0.0,0.0,-0.008031960290491044
2018-05-09,20.0273,20.4673,20.0033,20.4567,85910472,46.2324,170.7276,0.4152,-26.7013,-3.4171,0.0,0.0,0.006821548502053339
2018-05-10,20.5,20.866,20.2741,20.3347,84773416,46.1068,173.297,0.4171,-22.3148,-1.3235,0.0,0.0,0.02788449554855953
2018-05-11,20.5133,20.592,19.9387,20.0707,70194736,44.4395,178.355,0.345,-32.3879,-17.1972,0.0,0.0,-0.026958768322260997
2018-05-14,20.2213,20.3293,19.4413,19.4647,109302064,49.6945,177.3815,0.5668,7.1147,55.7126,0.0,0.0,0.034471473764590456
2018-05-15,19.0007,19.1307,18.7,18.9453,142787600,53.73,178.3804,0.743,41.1796,30.6358,0.0,0.0,-0.014550086806022215
2018-05-16,18.922,19.254,18.7707,19.0987,85110288,46.7705,180.0293,0.4223,-14.9353,-40.3938,0.0,0.0,0.004394465349046992
2018-05-17,19.06,19.2792,18.9313,18.9693,66309180,44.7363,184.5675,0.326,-32.4346,-22.0903,0.0,1.0,-0.003587950511027481
2018-05-18,18.9767,18.9767,18.2667,18.4547,108778304,50.0238,182.1088,0.5548,10.8902,64.0471,0.0,0.0,-0.017301623381772293
2018-05-21,18.7553,19.4327,18.7533,18.966,137738560,53.3048,177.7806,0.6962,38.0118,26.6232,0.0,0.0,-0.027288153023447115
2018-05-22,19.1841,19.2,18.2281,18.334,134186336,52.8465,174.9342,0.6619,32.898,-2.579,0.0,0.0,0.024549573279949482
2018-05-23,18.5173,18.6607,18.2667,18.6047,89775792,47.3639,168.757,0.4091,-10.7826,-33.0962,0.0,0.0,-0.024297470534112565
2018-05-24,18.56,18.7407,18.326,18.5233,62650620,44.3382,169.4473,0.2589,-37.0203,-30.2143,0.0,0.0,-0.016580143256481644
2018-05-25,18.5083,18.6427,18.374,18.59,58126232,43.8352,171.3938,0.2379,-40.9441,-7.2216,0.0,0.0,0.019269708944957612
2018-05-29,18.5673,19.1,18.41,18.9173,84999600,47.6352,166.7826,0.3784,-14.0461,46.2328,0.0,0.0,-0.088793427230047
2018-05-30,18.886,19.667,18.7733,19.448,112345288,51.2496,160.4699,0.5205,12.3763,32.1715,0.0,0.0,0.010786467799570041
2018-05-31,19.1473,19.358,18.862,18.982,88795816,48.1663,163.1191,0.3982,-12.1843,-20.9617,0.0,0.0,-0.004939250990447216
2018-06-01,19.0573,19.4633,18.9226,19.4547,81365792,47.2014,104.9209,0.342,-20.0392,-8.3675,0.0,0.0,-0.043482384823848315
2018-06-04,19.6227,19.9333,19.5699,19.7827,71967152,45.9475,106.1098,0.2737,-29.4557,-11.5511,0.0,0.0,-0.031127331924223036
2018-06-05,19.8467,19.8533,19.116,19.4087,89927352,48.7493,102.6092,0.4709,-12.7573,24.9561,1.0,0.0,-0.005829812967418322
2018-06-06,20.0333,21.478,19.832,21.3,281509024,67.877,185.6067,1.4434,152.3337,213.0405,0.0,0.0,-0.03617494129486751
2018-06-07,21.0767,22.0,20.9053,21.0727,215179072,59.5853,195.8044,0.9994,87.4592,-23.5623,0.0,0.0,-0.0012563866320462827
2018-06-08,21.2667,21.632,21.1433,21.1773,123078032,50.3821,191.6588,0.5583,12.6068,-42.802,0.0,0.0,-0.03413963271579974
2018-06-11,21.5007,22.3107,21.5,22.14,197752096,56.2785,189.2865,0.864,76.4581,60.6721,0.0,0.0,0.051852293082248105
2018-06-12,22.98,23.6647,22.5333,22.8513,335211040,64.6145,227.2196,1.209,178.7178,69.5107,0.0,0.0,-0.026697863177074718
2018-06-13,23.1137,23.1467,22.6533,22.9853,142047056,50.1456,227.2629,0.547,16.0583,-57.6246,0.0,0.0,0.042331216844431536
2018-06-14,23.1753,23.9167,23.1067,23.848,164715344,51.5177,219.5308,0.6115,31.2002,15.9583,0.0,0.0,0.041601474687528096
2018-06-15,23.5893,24.3113,23.4167,23.878,162723808,51.3839,207.8631,0.5897,26.4728,-1.2091,0.0,0.0,0.0018603017021985645
2018-06-18,23.6933,24.9153,23.6333,24.722,181098384,52.6069,203.3846,0.6409,36.0627,11.2919,0.0,0.0,-0.026285087719298224
2018-06-19,24.344,24.6667,23.0833,23.5033,191428544,53.3178,201.9161,0.6657,40.3597,5.7042,0.0,0.0,-0.007258334893563235
