"","Comp.1","Comp.2","Comp.3"
"open",0.26642794734375,0.233398677894431,0.683929760244944
"high",0.227371806380282,0.376471347280953,0.0762531567493757
"low",0.38523151993137,0.219980784640978,-0.0328970783895506
"close",0.236766731620984,0.235440562151404,-0.721628350494628
"daily_trading_volume",-0.347507238144281,0.142186602971512,0.0193848353733892
"RSI_14",-0.385373640671184,0.210709369156427,0.0230685742538117
"BollW",-0.105274430673166,-0.699286669762247,0.0201060431297647
"precent_B",-0.373759535491629,0.24710870680887,0.0212370105950621
"BIAS",-0.383471395629752,0.14951003264083,0.0174584965532346
"ROC_1",-0.325196971863072,0.250873075982854,-0.0502777433968114
