"","Comp.1","Comp.2","Comp.3"
"open",0.491501698269574,0.0283951240284217,0.0780020269129179
"high",0.499652574052357,0.0398267940306779,0.0791111774602986
"low",0.485690002221314,0.0182477208911678,0.0781483890532869
"close",0.492424058187064,0.0295268265280825,0.0784129698128826
"daily_trading_volume",-0.0610079141818217,0.251908502732277,-0.011867223482951
"RSI_14",-0.0116658680463198,0.510282382702019,-0.0760516128645513
"BollW",-0.161944150774759,0.13591230489507,0.9766115443987
"precent_B",-0.0126216430945991,0.652432983019205,-0.111089143345761
"BIAS",-0.0099766728926242,0.448481471405492,-0.0519574700408449
"ROC_1",-0.00737214929026826,0.165167020358107,-0.0258104034097621
