"","Comp.1","Comp.2","Comp.3","Comp.4"
"open",0.39634225557166,0.195317933301975,0.045513553800454,0.0403510467239346
"high",0.394056047397579,0.199072652571549,0.0468109676478536,0.0413114699859561
"low",0.398479288917238,0.191632666518687,0.0427438855651614,0.0393417147390783
"close",0.396012569981033,0.195536861774886,0.0441820039143533,0.038724365801738
"daily_trading_volume",-0.318767667726451,0.144426536698276,0.319322931744437,-0.717366549441663
"RSI_14",-0.246487774879631,0.441210161687468,0.170243477522695,0.240550257119891
"BollW",-0.243274521493137,-0.427249241453348,0.0954504276382183,0.53257503813672
"precent_B",-0.236929975251584,0.447051076683023,0.118701807541661,0.328206714841429
"BIAS",-0.247207934839477,0.424152913272244,0.162246714818513,0.15635924434605
"ROC_1",-0.182268566949691,0.263506235479837,-0.900823669987068,-0.0730382350994377
