"","Comp.1","Comp.2","Comp.3"
"open",0.000384408891566486,0.00745852386157385,0.0081132151013561
"high",0.0116983662907554,0.00586443123805465,-0.00972385294167832
"low",-0.010824783037049,-0.00947705427323864,0.0212138848876709
"close",0.00300724532435723,-0.00810927168346622,0.00964709988596071
"daily_trading_volume",0.238045671399115,0.0196138135633743,0.345334880364938
"RSI_14",0.485558939489491,0.196862877131105,-0.0150555554163328
"BollW",0.0551604230025873,0.156101384394047,0.765057351562555
"precent_B",0.640691536499625,0.291878384144172,-0.418381664116017
"BIAS",0.419664368814058,0.0476408802801099,0.34511693512207
"ROC_1",0.343011743171426,-0.921294970752623,0.0187619475119435
